co_cid,no_agravo,nu_prazo_encerramento
M92.1,OSTEOCONDROSE JUVENIL DO RADIO E DO CUBITO [ULNA],0
M92.2,OSTEOCONDROSE JUVENIL DA MAO,0
M92.3,OUTRAS OSTEOCONDROSES JUVENIS DO MEMBRO SUPERIOR,0
M92.5,OSTEOCONDROSE JUVENIL DA TIBIA E PERONIO [FIBULA],0
M92.6,OSTEOCONDROSE JUVENIL DO TARSO,0
M92.7,OSTEOCONDROSE JUVENIL DO METATARSO,0
M92.8,OUTRAS OSTEOCONDROSES JUVENIS ESPECIFICADAS,0
M92.9,"OSTEOCONDROSE JUVENIL,NAO ESPECIFICADA",0
M93,OUTRAS OSTEOCONDROPATIAS,0
M93.0,LUXACAO (NAO-TRAUMATICA) DA EPIFISE SUPERIOR DO FEMUR,0
M93.1,DOENCA DE KIENBOCK DO ADULTO,0
M93.2,OSTEOCONDRITE DISSECANTE,0
M93.8,"OUTRAS OSTEOCONDROPATIAS,ESPECIFICADAS",0
M93.9,"OSTEOCONDROPATIAS,NAO ESPECIFICADA",0
M94,OUTROS TRANSTORNOS DAS CARTILAGENS,0
M94.0,SINDROME DA JUNCAO CONDROCOSTAL [TIETZE],0
M94.1,POLICONDRITE RECIDIVANTE,0
M94.2,CONDROMALACIA,0
M94.3,CONDROLISE,0
M94.8,OUTROS TRANSTORNOS ESPECIFICADOS DA CARTILAGEM,0
M94.9,TRANSTORNOS NAO ESPECIFICADOS DA CARTILAGEM,0
M95.1,ORELHA EM COUVE-FLOR,0
M95.2,OUTRAS DEFORMIDADES ADQUIRIDAS DA CABECA,0
M95.3,DEFORMIDADE ADQUIRIDA DO PESCOCO,0
M95.4,DEFORMIDADE ADQUIRIDA DO TORAX E DAS COSTELAS,0
M95.5,DEFORMIDADE ADQUIRIDA DA PELVE,0
M95.8,OUTRAS DEFORMIDADES ADQUIRIDAS ESPECIFICADAS DO SISTEMA OSTEOMUSCULAR,0
M95.9,DEFORMIDADE ADQUIRIDA DO SISTEMA OSTEOMUSCULAR NAO ESPECIFICADA,0
M96.0,PSEUDO-ARTROSE APOS FUSAO OU ARTRODESE,0
M96.1,SINDROME POS-LAMINECTOMIA NAO CLASSIFICADA EM OUTRA PARTE,0
M96.2,CIFOSE POS-RADIACAO,0
M96.3,CIFOSE POS-LAMINECTOMIA,0
M96.4,LORDOSE POS-CIRURGICA,0
M96.5,ESCOLIOSE POS-RADIACAO,0
M96.6,"FRATURA DE OSSO SUBSEQUENTE A IMPLANTE ORTOPEDICO,PROTESE ARTICULAR OU PLACA OSSEA",0
M96.8,OUTROS TRANSTORNOS OSTEOMUSCULARES POS-PROCEDIMENTOS,0
M96.9,TRANSTORNO OSTEOMUSCULAR NAO ESPECIFICADO POS-PROCEDIMENTO,0
M99,LESOES BIOMECANICAS NAO CLASSIFICADAS EM OUTRA PARTE,0
M99.0,DISFUNCAO SEGMENTAR E SOMATICA,0
M99.1,COMPLEXO DE SUBLUXACAO (VERTEBRAL),0
M99.2,ESTENOSE DE SUBLUXACAO DO CANAL MEDULAR,0
M99.3,ESTENOSE OSSEA DO CANAL MEDULAR,0
M99.4,ESTENOSE DE TECIDO CONJUNTIVO DO CANAL MEDULAR,0
M99.5,ESTENOSE DE DISCO INTERVERTEBRAL DO CANAL MEDULAR,0
M99.6,ESTENOSE OSSEA E SUBLUXACAO DOS FORAMES INTERVERTEBRAIS,0
M99.7,ESTENOSE DE TECIDO CONJUNTIVO E DO DISCO DOS FORAMES INTERVERTEBRAIS,0
M99.8,OUTRAS LESOES BIOMECANICAS,0
M99.9,LESAO BIOMECANICA NAO ESPECIFICADA,0
N00,SINDROME NEFRITICA AGUDA,0
N00.0,SINDROME NEFRITICA AGUDA - ANORMALIDADE GLOMERULAR MINOR,0
N00.1,SINDROME NEFRITICA AGUDA - LESOES GLOMERULARES FOCAIS E SEGMENTARES,0
N00.2,SINDROME NEFRITICA AGUDA - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N00.3,SINDROME NEFRITICA AGUDA - GLOMERULONEFRITE PROLIFERATIVA MESANGIAL DIFUSA,0
N00.4,SINDROME NEFRITICA AGUDA - GLOMERULONEFRITE PROLIFERATIVA ENDOCAPILAR DIFUSA,0
N00.5,SINDROME NEFRITICA AGUDA - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N00.6,SINDROME NEFRITICA AGUDA - DOENCA DE DEPOSITO DENSO,0
N00.7,SINDROME NEFRITICA AGUDA - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N00.8,SINDROME NEFRITICA AGUDA - OUTRAS,0
N00.9,SINDROME NEFRITICA AGUDA - NAO ESPECIFICADA,0
N01,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA,0
N01.0,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - ANORMALIDADE GLOMERULAR MINOR,0
N01.1,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - LESOES GLOMERULARES FOCAIS E SEGMENTARES,0
N01.2,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N01.3,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - GLOMERULONEFRITE PROLIFERATIVA MESANGIAL DIFUSA,0
N01.5,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N01.6,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - DOENCA DE DEPOSITO DENSO,0
N01.7,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N01.8,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - OUTRAS,0
N01.9,SINDROME NEFRITICA RAPIDAMENTE PROGRESSIVA - NAO ESPECIFICADA,0
N02,HEMATURIA RECIDIVANTE E PERSISTENTE,0
N02.0,HEMATURIA RECIDIVANTE E PERSISTENTE - ANORMALIDADE GLOMERULAR MINOR,0
N02.1,HEMATURIA RECIDIVANTE E PERSISTENTE - LESOES GLOMERULARES FOCAIS E SEGMENTARES,0
N02.2,HEMATURIA RECIDIVANTE E PERSISTENTE - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N02.4,HEMATURIA RECIDIVANTE E PERSISTENTE - GLOMERULONEFRITE PROLIFERATIVA ENDOCAPILAR DIFUSA,0
N02.5,HEMATURIA RECIDIVANTE E PERSISTENTE - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N02.6,HEMATURIA RECIDIVANTE E PERSISTENTE - DOENCA DE DEPOSITO DENSO,0
N02.7,HEMATURIA RECIDIVANTE E PERSISTENTE - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N02.8,HEMATURIA RECIDIVANTE E PERSISTENTE - OUTRAS,0
N02.9,HEMATURIA RECIDIVANTE E PERSISTENTE - NAO ESPECIFICADA,0
N03,SINDROME NEFRITICA CRONICA,0
N03.0,SINDROME NEFRITICA CRONICA - ANORMALIDADE GLOMERULAR MINOR,0
N03.1,SINDROME NEFRITICA CRONICA - LESOES GLOMERULARES FOCAIS E SEGMENTARES,0
N03.2,SINDROME NEFRITICA CRONICA - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N03.3,SINDROME NEFRITICA CRONICA - GLOMERULONEFRITE PROLIFERATIVA MESANGIAL DIFUSA,0
N03.4,SINDROME NEFRITICA CRONICA - GLOMERULONEFRITE PROLIFERATIVA ENDOCAPILAR DIFUSA,0
N03.5,SINDROME NEFRITICA CRONICA - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N03.6,SINDROME NEFRITICA CRONICA - DOENCA DE DEPOSITO DENSO,0
N03.7,SINDROME NEFRITICA CRONICA - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N03.8,SINDROME NEFRITICA CRONICA - OUTRAS,0
N03.9,SINDROME NEFRITICA CRONICA - NAO ESPECIFICADA,0
N04,SINDROME NEFROTICA,0
N04.0,SINDROME NEFROTICA - ANORMALIDADE GLOMERULAR MINOR,0
N04.2,SINDROME NEFROTICA - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N04.3,SINDROME NEFROTICA - GLOMERULONEFRITE PROLIFERATIVA MESANGIAL DIFUSA,0
N04.4,SINDROME NEFROTICA - GLOMERULONEFRITE PROLIFERATIVA ENDOCAPILAR DIFUSA,0
N04.5,SINDROME NEFROTICA - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N04.6,SINDROME NEFROTICA - DOENCA DE DEPOSITO DENSO,0
N04.7,SINDROME NEFROTICA - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N04.8,SINDROME NEFROTICA - OUTRAS,0
N04.9,SINDROME NEFROTICA - NAO ESPECIFICADA,0
N05,SINDROME NEFRITICA NAO ESPECIFICADA,0
N05.0,SINDROME NEFRITICA NAO ESPECIFICADA - ANORMALIDADE GLOMERULAR MINOR,0
N05.1,SINDROME NEFRITICA NAO ESPECIFICADA - LESOES GLOMERULARES FOCAIS E SEGMENTARES,0
N05.2,SINDROME NEFRITICA NAO ESPECIFICADA - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N05.3,SINDROME NEFRITICA NAO ESPECIFICADA - GLOMERULONEFRITE PROLIFERATIVA MESANGIAL DIFUSA,0
N05.4,SINDROME NEFRITICA NAO ESPECIFICADA - GLOMERULONEFRITE PROLIFERATIVA ENDOCAPILAR DIFUSA,0
N05.5,SINDROME NEFRITICA NAO ESPECIFICADA - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N05.6,SINDROME NEFRITICA NAO ESPECIFICADA - DOENCA DE DEPOSITO DENSO,0
N05.7,SINDROME NEFRITICA NAO ESPECIFICADA - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N05.8,SINDROME NEFRITICA NAO ESPECIFICADA - OUTRAS,0
N05.9,SINDROME NEFRITICA NAO ESPECIFICADA - NAO ESPECIFICADA,0
N06,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA,0
N06.0,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - ANORMALIDADE GLOMERULAR MINOR,0
N06.1,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - LESOES GLOMERULARES FOCAIS E SEGMENTARES,0
N06.2,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N06.4,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - GLOMERULONEFRITE PROLIFERATIVA ENDOCAPILAR DIFUSA,0
N06.5,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N06.6,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - DOENCA DE DEPOSITO DENSO,0
N06.7,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N06.8,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - OUTRAS,0
N06.9,PROTEINURIA ISOLADA COM LESAO MORFOLOGICA ESPECIFICADA - NAO ESPECIFICADA,0
N07,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE,0
N07.0,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - ANORMALIDADE GLOMERULAR MINOR,0
N07.1,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - LESOES GLOMERULARES FOCAIS E SEGMENTARES,0
N07.2,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - GLOMERULONEFRITE MEMBRANOSA DIFUSA,0
N07.3,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - GLOMERULONEFRITE PROLIFERATIVA MESANGIAL DIFUSA,0
N07.4,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - GLOMERULONEFRITE PROLIFERATIVA ENDOCAPILAR DIFUSA,0
N07.5,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - GLOMERULONEFRITE MESANGIOCAPILAR DIFUSA,0
N07.6,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - DOENCA DE DEPOSITO DENSO,0
N07.7,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - GLOMERULONEFRITE DIFUSA EM CRESCENTE,0
N07.8,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - OUTRAS,0
N07.9,NEFROPATIA HEREDITARIA NAO CLASSIFICADA EM OUTRA PARTE - NAO ESPECIFICADA,0
N30.9,"CISTITE,NAO ESPECIFICADA",0
N08.1,TRANSTORNOS GLOMERULARES EM DOENCAS NEOPLASICAS,0
N08.2,TRANSTORNOS GLOMERULARES EM DOENCAS DO SANGUE E TRANSTORNOS IMUNITARIOS,0
N08.3,TRANSTORNOS GLOMERULARES NO DIABETES MELLITUS (E10-E14 COM QUARTO CARACTERE COMUM .2),0
N08.4,"TRANSTORNOS GLOMERULARES EM DOENCAS ENDOCRINAS,NUTRICIONAIS E METABOLICAS",0
N08.5,TRANSTORNOS GLOMERULARES EM DOENCAS SISTEMICAS DO TECIDO CONJUNTIVO,0
N08.8,TRANSTORNOS GLOMERULARES EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N10,NEFRITE TUBULO-INTERSTICIAL AGUDA,0
N11,NEFRITE TUBULO-INTERSTICIAL CRONICA,0
N11.0,PIELONEFRITE NAO-OBSTRUTIVA CRONICA ASSOCIADA A REFLUXO,0
N11.1,PIELONEFRITE OBSTRUTIVA CRONICA,0
N11.8,OUTRAS NEFRITES TUBULO-INTERSTICIAIS CRONICAS,0
N11.9,NEFRITE TUBULO-INTERSTICIAL CRONICA NAO ESPECIFICADA,0
N12,NEFRITE TUBULO-INTERSTICIAL NAO ESPECIFICADA SE AGUDA OU CRONICA,0
N13,UROPATIA OBSTRUTIVA E POR REFLUXO,0
N13.0,HIDRONEFROSE COM OBSTRUCAO DA JUNCAO URETERO-PELVICA,0
N13.1,HIDRONEFROSE COM ESTREITAMENTO DE URETER NAO CLASSIFICADA EM OUTRA PARTE,0
N13.2,HIDRONEFROSE COM OBSTRUCAO POR CALCULOSE RENAL E URETERAL,0
N13.3,OUTRAS HIDRONEFROSES E AS NAO ESPECIFICADAS,0
N13.6,PIONEFROSE,0
N13.7,UROPATIA ASSOCIADA A REFLUXO VESICO-URETERAL,0
N13.8,OUTRAS UROPATIAS OBSTRUTIVAS E POR REFLUXO,0
N13.9,UROPATIA OBSTRUTIVA E POR REFLUXO NAO ESPECIFICADA,0
N14.0,NEFROPATIA INDUZIDA POR ANALGESICO,0
N14.1,"NEFROPATIA INDUZIDA POR OUTRAS DROGAS,MEDICAMENTOS E SUBSTANCIAS BIOLOGICAS",0
N14.2,"NEFROPATIA INDUZIDA POR DROGAS,MEDICAMENTOS E SUBSTANCIAS BIOLOGICAS NAO ESPECIFICADAS",0
N14.3,NEFROPATIA INDUZIDA POR METAIS PESADOS,0
N14.4,NEFROPATIA TOXICA NAO CLASSIFICADA EM OUTRA PARTE,0
N15,OUTRAS DOENCAS RENAIS TUBULO-INTERSTICIAIS,0
N15.0,NEFROPATIA DOS BALCAS,0
N15.1,ABSCESSO RENAL E PERINEFRETICO,0
N15.8,OUTRAS DOENCAS RENAIS TUBULO-INTERSTICIAIS ESPECIFICADAS,0
N15.9,DOENCA RENAL TUBULO-INTERSTICIAL NAO ESPECIFICADA,0
N16,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N16.0,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM DOENCAS INFECCIOSAS E PARASITARIAS CLASSIFICADAS EM OUTRA PARTE,0
N16.1,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM DOENCAS NEOPLASICAS,0
N16.2,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM DOENCAS DO SANGUE E TRANSTORNOS IMUNITARIOS,0
N16.3,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM DOENCAS METABOLICAS,0
N16.4,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM DOENCAS DO TECIDO CONJUNTIVO,0
N16.5,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM REJEICAO A TRANSPLANTES (T86.-+),0
N16.8,TRANSTORNOS RENAIS TUBULO-INTERSTICIAIS EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N20,CALCULOSE DO RIM E DO URETER,0
N20.1,CALCULOSE DO URETER,0
N20.2,CALCULOSE DO RIM COM CALCULO DO URETER,0
N20.9,"CALCULOSE URINARIA,NAO ESPECIFICADA",0
N21,CALCULOSE DO TRATO URINARIO INFERIOR,0
N21.0,CALCULOSE NA BEXIGA,0
N21.1,CALCULO URETRAL,0
N21.8,OUTROS CALCULOS DO TRATO URINARIO INFERIOR,0
N21.9,"CALCULO DO TRATO URINARIO INFERIOR,PORCAO NAO ESPECIFICADA",0
N22,CALCULOSE DO TRATO URINARIO INFERIOR EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N22.0,CALCULO URINARIO NA ESQUISTOSSOMOSE [BILHARZIOSE] [SCHISTOSOMIASE] (B65.-+),0
N22.8,CALCULOSE DO TRATO URINARIO EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N23,COLICA NEFRETICA NAO ESPECIFICADA,0
N25,TRANSTORNOS RESULTANTES DE FUNCAO RENAL TUBULAR ALTERADA,0
N25.0,OSTEODISTROFIA RENAL,0
N25.1,DIABETES INSIPIDO NEFROGENICO,0
N25.8,OUTROS TRANSTORNOS RESULTANTES DE FUNCAO RENAL TUBULAR ALTERADA,0
N25.9,TRANSTORNOS RESULTANTE DE FUNCAO TUBULAR ALTERADA,0
N26,"RIM CONTRAIDO,NAO ESPECIFICADO",0
N27,HIPOPLASIA RENAL DE CAUSA DESCONHECIDA,0
N27.0,HIPOPLASIA RENAL UNILATERAL,0
N27.1,HIPOPLASIA RENAL BILATERAL,0
N27.9,HIPOPLASIA RENAL NAO ESPECIFICADA,0
N28,OUTROS TRANSTORNOS DO RIM E DO URETER NAO CLASSIFICADO EM OUTRA PARTE,0
N28.0,ISQUEMIA E INFARTO RENAL,0
N28.1,"CISTO DO RIM,ADQUIRIDO",0
N28.8,OUTROS TRANSTORNOS ESPECIFICADOS DO RIM E DO URETER,0
N28.9,TRANSTORNO NAO ESPECIFICADO DO RIM E DO URETER,0
N29.0,SIFILIS TARDIA RENAL (A52.7+),0
N29.8,OUTROS TRANSTORNOS DO RIM E DO URETER EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N30.0,CISTITE AGUDA,0
N30.1,CISTITE INTERSTICIAL (CRONICA),0
N30.2,OUTRAS CISTITES CRONICAS,0
N30.3,TRIGONITE,0
N30.4,CISTITE POR RADIACAO,0
N31,DISFUNCOES NEUROMUSCULARES DA BEXIGA NAO CLASSIFICADOS EM OUTRA PARTE,0
N31.0,BEXIGA NEUROPATICA NAO-INIBIDA NAO CLASSIFICADA EM OUTRA PARTE,0
N31.1,BEXIGA NEUROPATICA REFLEXA NAO CLASSIFICADA EM OUTRA PARTE,0
N31.2,BEXIGA NEUROPATICA FLACIDA NAO CLASSIFICADA EM OUTRA PARTE,0
N31.8,OUTRA DISFUNCAO NEUROMUSCULAR DA BEXIGA,0
N31.9,DISFUNCAO NEUROMUSCULAR NAO ESPECIFICADA DA BEXIGA,0
N32,OUTROS TRANSTORNOS DA BEXIGA,0
N32.0,OBSTRUCAO DO COLO DA BEXIGA,0
N32.1,FISTULA ENTERO-VESICAL,0
N32.2,FISTULA VESICAL NAO CLASSIFICADA EM OUTRA PARTE,0
N32.3,DIVERTICULO DA BEXIGA,0
N32.4,"RUPTURA DA BEXIGA,NAO-TRAUMATICA",0
N32.8,OUTROS TRANSTORNOS ESPECIFICADOS DA BEXIGA,0
N32.9,TRANSTORNO NAO ESPECIFICADO DA BEXIGA,0
N33.0,CISTITE TUBERCULOSA (A18.1+),0
N33.8,TRANSTORNOS DA BEXIGA EM OUTRAS DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N34,URETRITE E SINDROME URETRAL,0
N34.0,ABSCESSO URETRAL,0
N34.1,URETRITES NAO ESPECIFICAS,0
N34.2,OUTRAS URETRITES,0
N34.3,"SINDROME URETRAL,NAO ESPECIFICADA",0
N35,ESTENOSE DA URETRA,0
N35.0,ESTENOSE URETRAL POS-TRAUMATICA,0
N35.1,ESTENOSE URETRAL POS-INFECCIOSA NAO CLASSIFICADA EM OUTRA PARTE,0
N35.8,OUTRA ESTENOSE (ESTREITAMENTO) URETRAL,0
N35.9,ESTENOSE (ESTREITAMENTO) URETRAL NAO ESPECIFICADA(O),0
N36,OUTROS TRANSTORNOS DA URETRA,0
N36.0,FISTULA URETRAL,0
N36.1,DIVERTICULO URETRAL,0
N36.2,CARUNCULA URETRAL,0
N36.3,PROLAPSO DA MUCOSA URETRAL,0
N36.8,OUTROS TRANSTORNOS ESPECIFICADOS DA URETRA,0
N36.9,TRANSTORNO NAO ESPECIFICADO DA URETRA,0
N37,TRANSTORNOS DA URETRA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N37.0,URETRITE EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N37.8,OUTROS TRANSTORNOS DA URETRA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N39,OUTROS TRANSTORNOS DO TRATO URINARIO,0
N39.0,INFECCAO DO TRATO URINARIO DE LOCALIZACAO NAO ESPECIFICADA,0
N39.1,PROTEINURIA PERSISTENTE NAO ESPECIFICADA,0
N39.2,PROTEINURIA ORTOSTATICA NAO ESPECIFICADA,0
N39.3,INCONTINENCIA DE TENSAO (STRESS),0
N39.4,OUTRAS INCONTINENCIAS URINARIAS ESPECIFICADAS,0
N39.8,OUTROS TRANSTORNOS ESPECIFICADOS DO APARELHO URINARIO,0
N39.9,TRANSTORNOS NAO ESPECIFICADOS DO APARELHO URINARIO,0
N40,HIPERPLASIA DA PROSTATA,0
N41,DOENCAS INFLAMATORIAS DA PROSTATA,0
N41.0,PROSTATITE AGUDA,0
N41.1,PROSTATITE CRONICA,0
N41.2,ABSCESSO DA PROSTATA,0
N41.3,PROSTATOCISTITE,0
N41.8,OUTRAS DOENCAS INFLAMATORIAS DA PROSTATA,0
N41.9,DOENCA INFLAMATORIA NAO ESPECIFICADA DA PROSTATA,0
N42,OUTRAS AFECCOES DA PROSTATA,0
N42.0,CALCULO DA PROSTATA,0
N42.1,CONGESTAO E HEMORRAGIA DA PROSTATA,0
N42.2,ATROFIA DA PROSTATA,0
N42.8,OUTRAS AFECCOES ESPECIFICADAS DA PROSTATA,0
N42.9,AFECCAO NAO ESPECIFICADA DA PROSTATA,0
N43,HIDROCELE E ESPERMATOCELE,0
N43.0,HIDROCELE ENCISTADA,0
N43.1,HIDROCELE INFECTADA,0
N43.2,OUTRA HIDROCELE,0
N43.3,HIDROCELE NAO ESPECIFICADA,0
N43.4,ESPERMATOCELE,0
N44,TORCAO DO TESTICULO,0
N45,ORQUITE E EPIDIDIMITE,0
N45.9,"ORQUITE,EPIDIDIMITE E EPIDIDIMO-ORQUITE,SEM MENCAO DE ABSCESSO",0
N47,"HIPERTROFIA DO PREPUCIO,FIMOSE E PARAFIMOSE",0
N48,OUTROS TRANSTORNOS DO PENIS,0
N48.0,LEUCOPLASIA DO PENIS,0
N48.1,BALANOPOSTITE,0
N48.2,OUTROS TRANSTORNOS INFLAMATORIOS DO PENIS,0
N48.3,PRIAPISMO,0
N48.6,BALANITE XEROTICA OBLITERANTE,0
N48.8,OUTROS TRANSTORNOS ESPECIFICADOS DO PENIS,0
N48.9,TRANSTORNO NAO ESPECIFICADO DO PENIS,0
N49.0,TRANSTORNOS INFLAMATORIOS DA VESICULA SEMINAL,0
N49.1,"TRANSTORNOS INFLAMATORIOS DO CORDAO ESPERMATICO,TUNICA VAGINAL E VASOS DEFERENTES",0
N49.2,TRANSTORNO INFLAMATORIO DO ESCROTO,0
N49.8,TRANSTORNOS INFLAMATORIOS DE OUTROS ORGAOS GENITAIS MASCULINOS ESPECIFICADOS,0
N49.9,"TRANSTORNO INFLAMATORIO DE ORGAO GENITAL MASCULINO,NAO ESPECIFICADO",0
N50,OUTROS TRANSTORNOS DOS ORGAOS GENITAIS MASCULINOS,0
N50.0,ATROFIA DO TESTICULO,0
N50.1,TRANSTORNOS VASCULARES DOS ORGAOS GENITAIS MASCULINOS,0
N50.8,OUTROS TRANSTORNOS ESPECIFICADOS DOS ORGAOS GENITAIS MASCULINOS,0
N50.9,TRANSTORNO NAO ESPECIFICADO DOS ORGAOS GENITAIS MASCULINOS,0
N51,TRANSTORNOS DOS ORGAOS GENITAIS MASCULINOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N51.0,TRANSTORNOS DA PROSTATA EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N51.1,TRANSTORNOS DO TESTICULO E DO EPIDIDIMO EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N51.2,BALANITE EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N51.8,OUTROS TRANSTORNOS DOS ORGAOS GENITAIS MASCULINOS EM DOENCAS CLASSIFICADAS EM OUTRA PARTE,0
N60,DISPLASIAS MAMARIAS BENIGNAS,0
N60.0,CISTO SOLITARIO DA MAMA,0
N60.1,MASTOPATIA CISTICA DIFUSA,0
N60.2,FIBROADENOSE DA MAMA,0
N60.3,FIBROSCLEROSE DA MAMA,0
N60.4,ECTASIA DE DUTOS MAMARIOS,0
N60.8,OUTRAS DISPLASIAS MAMARIAS BENIGNAS,0
N60.9,DISPLASIA MAMARIA BENIGNA NAO ESPECIFICADA,0
N61,TRANSTORNOS INFLAMATORIOS DA MAMA,0
N62,HIPERTROFIA DA MAMA,0
N63,NODULO MAMARIO NAO ESPECIFICADO,0
N64.0,FISSURA E FISTULA DO MAMILO,0
N64.1,NECROSE GORDUROSA DA MAMA,0
N64.3,GALACTORREIA NAO-ASSOCIADA AO PARTO,0
N64.4,MASTODINIA,0
N64.5,OUTROS SINTOMAS E SINAIS DA MAMA,0
N64.8,OUTROS TRANSTORNOS ESPECIFICADOS DA MAMA,0
N64.9,TRANSTORNO DA MAMA NAO ESPECIFICADO,0
N70,SALPINGITE E OOFORITE,0
N70.0,SALPINGITE E OOFORITE AGUDAS,0
N70.1,SALPINGITE E OOFORITE CRONICAS,0
N70.9,SALPINGITE E OOFORITE NAO ESPECIFICADAS,0
N71,"DOENCA INFLAMATORIA DO UTERO,EXCETO O COLO",0
N71.0,DOENCA INFLAMATORIA AGUDA DO UTERO,0
N71.1,DOENCA INFLAMATORIA CRONICA DO UTERO,0
N71.9,DOENCA INFLAMATORIA NAO ESPECIFICADA DO UTERO,0
N73,OUTRAS DOENCAS INFLAMATORIAS PELVICAS FEMININAS,0
N73.0,PARAMETRITE E CELULITE PELVICAS AGUDAS,0
N73.1,PARAMETRITE E CELULITE PELVICAS CRONICAS,0
N73.2,PARAMETRITE E CELULITE PELVICAS NAO ESPECIFICADAS,0
N73.3,PELVIPERITONITE AGUDA FEMININA,0
N73.4,PELVIPERITONITE CRONICA FEMININA,0
N73.5,PELVIPERITONITE NAO ESPECIFICADA FEMININA,0
N73.6,ADERENCIAS PELVIPERITONAIS FEMININAS,0
